ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:50,ptbxl,lp,4,swap23,V1<->V2,0.8663,0.6156,0.8842,0.6612,-1.78,-4.56,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,swap34,V2<->V3,0.8807,0.6435,0.8907,0.6574,-1.00,-1.38,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap34,V2<->V3,0.8774,0.6346,0.8795,0.6412,-0.20,-0.66,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,swap34,V2<->V3,0.8791,0.6445,0.8842,0.6612,-0.50,-1.67,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,swap45,V3<->V4,0.8901,0.6545,0.8907,0.6574,-0.07,-0.29,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap45,V3<->V4,0.8781,0.6376,0.8795,0.6412,-0.14,-0.36,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,swap45,V3<->V4,0.8844,0.6594,0.8842,0.6612,+0.02,-0.18,1739,d9490c8,e599dbcdb693,7d9a524cc38e
09-22 20:50,ptbxl,lp,0,swap56,V4<->V5,0.8879,0.6597,0.8907,0.6574,-0.28,+0.23,1739,d9490c8,de0c28eedb30,7d9a524cc38e
09-22 20:50,ptbxl,lp,2,swap56,V4<->V5,0.8777,0.6357,0.8795,0.6412,-0.18,-0.55,1739,d9490c8,26ebf0e26e5a,7d9a524cc38e
09-22 20:50,ptbxl,lp,4,swap56,V4<->V5,0.8800,0.6492,0.8842,0.6612,-0.41,-1.20,1739,d9490c8,e599dbcdb693,7d9a524cc38e
