ts,dataset,eval,seed,perturbation,intensity,auroc,auprc,clean_auroc,clean_auprc,delta_auroc_pt,delta_auprc_pt,n_test,git_sha,checkpoint_sha256,data_sha
09-22 20:51,ptbxl,lp,2,swap_roll,roll1,0.8200,0.5368,0.9152,0.7144,-9.52,-17.76,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:51,ptbxl,lp,4,swap_roll,roll1,0.8357,0.5613,0.9135,0.7037,-7.78,-14.24,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,bw,0,0.8537,0.6074,0.8706,0.6474,-1.70,-4.00,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,bw,0,0.8466,0.6150,0.8679,0.6440,-2.13,-2.90,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,bw,5,0.8704,0.6362,0.8706,0.6474,-0.03,-1.12,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,bw,5,0.8601,0.6343,0.8679,0.6440,-0.78,-0.97,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,bw,10,0.8755,0.6473,0.8706,0.6474,+0.48,-0.01,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,bw,10,0.8667,0.6431,0.8679,0.6440,-0.13,-0.08,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,bw,20,0.8715,0.6473,0.8706,0.6474,+0.09,-0.01,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,bw,20,0.8676,0.6439,0.8679,0.6440,-0.03,-0.00,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,emg,0,0.5480,0.2382,0.8706,0.6474,-32.26,-40.92,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,emg,0,0.5948,0.2908,0.8679,0.6440,-27.31,-35.32,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,emg,5,0.6502,0.3287,0.8706,0.6474,-22.04,-31.87,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,emg,5,0.6596,0.3503,0.8679,0.6440,-20.83,-29.36,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,emg,10,0.7259,0.4178,0.8706,0.6474,-14.47,-22.96,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,emg,10,0.7167,0.4378,0.8679,0.6440,-15.13,-20.62,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
09-22 20:52,ptbxl,ft10,2,emg,20,0.8114,0.5584,0.8706,0.6474,-5.93,-8.89,1739,d9490c8,f39059a4430c,7d9a524cc38e
09-22 20:52,ptbxl,ft10,4,emg,20,0.8236,0.5868,0.8679,0.6440,-4.43,-5.72,1739,d9490c8,ba4f2d3c99af,7d9a524cc38e
